É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2016/12/28 10:23:36

,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ,ê_åÀ
2016/11/1 21:00:00,9,8,1,0.0,0,8,1,1017.8,8,1,2.8,8,ñkñkìå,8,1,12.4,8,1,2,8,1,0,1,8,1,1013.7,8,1,4.5,8,ñkñkìå,8,1,12.9,8,1,0+,8,1,0,1,8,1,1019.6,8,1,3.7,8,ñkñkìå,8,1,13.7,8,1
2016/11/1 22:00:00,,0,1,0.0,0,8,1,1018.1,8,1,2.6,8,ñk,8,1,11.8,8,1,,0,1,0,1,8,1,1014.2,8,1,3.5,8,ñkñkìå,8,1,12.3,8,1,,0,1,0,1,8,1,1020.0,8,1,6.3,8,ñkìå,8,1,13.4,8,1
2016/11/1 23:00:00,,0,1,0,1,8,1,1018.2,8,1,2.0,8,ñkñkêº,8,1,11.3,8,1,,0,1,0,1,8,1,1014.3,8,1,3.1,8,ñkìå,8,1,11.8,8,1,,0,1,0,1,8,1,1020.2,8,1,8.3,8,ìåñkìå,8,1,12.9,8,1
2016/11/2 00:00:00,,0,1,0,1,8,1,1018.2,8,1,1.5,8,ñkêº,8,1,10.4,8,1,,0,1,0,1,8,1,1014.1,8,1,3.0,8,ñkñkìå,8,1,11.7,8,1,,0,1,0,1,8,1,1020.0,8,1,7.6,8,ìåñkìå,8,1,12.4,8,1
2016/11/2 1:00:00,,0,1,0,1,8,1,1018.0,8,1,1.9,8,ñkìå,8,1,10.2,8,1,,0,1,0,1,8,1,1014.2,8,1,2.4,8,ñkñkìå,8,1,11.4,8,1,,0,1,0,1,8,1,1020.1,8,1,7.6,8,ìåñkìå,8,1,12.2,8,1
2016/11/2 2:00:00,,0,1,0,1,8,1,1018.2,8,1,1.7,8,ñkñkêº,8,1,9.6,8,1,,0,1,0,1,8,1,1014.5,8,1,1.7,8,ñkñkìå,8,1,11.0,8,1,,0,1,0,1,8,1,1020.5,8,1,6.8,8,ìåñkìå,8,1,12.2,8,1
2016/11/2 3:00:00,0+,8,1,0,1,8,1,1017.8,8,1,1.5,8,ñk,8,1,8.9,8,1,1,8,1,0,1,8,1,1014.2,8,1,1.7,8,ìåñkìå,8,1,10.5,8,1,1,8,1,0,1,8,1,1020.2,8,1,6.8,8,ìåñkìå,8,1,11.7,8,1
2016/11/2 4:00:00,,0,1,0,1,8,1,1017.6,8,1,0.8,8,ñkìå,8,1,8.3,8,1,,0,1,0,1,8,1,1013.9,8,1,1.3,8,ìå,8,1,10.3,8,1,,0,1,0,1,8,1,1020.0,8,1,6.6,8,ìåñkìå,8,1,11.5,8,1
2016/11/2 5:00:00,,0,1,0,1,8,1,1017.9,8,1,1.7,8,êºñkêº,8,1,8.1,8,1,,0,1,0,1,8,1,1014.3,8,1,1.5,8,ñkìå,8,1,9.5,8,1,,0,1,0,1,8,1,1020.1,8,1,8.0,8,ìåñkìå,8,1,11.3,8,1
2016/11/2 6:00:00,,0,1,0,1,8,1,1018.1,8,1,0.2,8,ê√â∏,8,1,7.8,8,1,1,8,1,0,1,8,1,1014.3,8,1,1.2,8,ñkñkìå,8,1,9.5,8,1,,0,1,0,1,8,1,1019.9,8,1,10.0,8,ìåñkìå,8,1,11.4,8,1
2016/11/2 7:00:00,,0,1,0,1,8,1,1018.6,8,1,1.5,8,ñkìå,8,1,7.6,8,1,,0,1,0,1,8,1,1014.7,8,1,1.4,8,ñkìå,8,1,9.8,8,1,,0,1,0,1,8,1,1020.6,8,1,6.3,8,ìåñkìå,8,1,11.7,8,1
2016/11/2 8:00:00,,0,1,0,1,8,1,1018.8,8,1,0.7,8,ìåñkìå,8,1,9.2,8,1,,0,1,0,1,8,1,1015.1,8,1,2.5,8,ñkìå,8,1,11.4,8,1,,0,1,0,1,8,1,1021.2,8,1,5.2,8,ìåñkìå,8,1,12.7,8,1
2016/11/2 9:00:00,0+,8,1,0,1,8,1,1018.7,8,1,0.5,8,ìåñkìå,8,1,11.9,8,1,1,8,1,0,1,8,1,1015.2,8,1,2.7,8,ñkñkìå,8,1,12.6,8,1,1,8,1,0,1,8,1,1021.3,8,1,4.9,8,ìåñkìå,8,1,13.9,8,1
2016/11/2 10:00:00,,0,1,0,1,8,1,1018.2,8,1,1.1,8,ìÏ,8,1,14.1,8,1,,0,1,0,1,8,1,1014.8,8,1,2.3,8,ñkñkìå,8,1,13.8,8,1,,0,1,0,1,8,1,1020.9,8,1,4.6,8,ìåìÏìå,8,1,14.9,8,1
2016/11/2 11:00:00,,0,1,0,1,8,1,1017.2,8,1,1.3,8,ìÏìÏìå,8,1,15.2,8,1,,0,1,0,1,8,1,1013.8,8,1,1.8,8,ñkìå,8,1,15.6,8,1,,0,1,0,1,8,1,1020.1,8,1,3.9,8,ìåìÏìå,8,1,15.4,8,1
2016/11/2 12:00:00,,0,1,0,1,8,1,1016.0,8,1,1.8,8,ìÏ,8,1,16.5,8,1,0+,8,1,0,1,8,1,1012.6,8,1,0.9,8,ìÏêº,8,1,16.4,8,1,,0,1,0,1,8,1,1019.0,8,1,2.7,8,ìÏìå,8,1,16.0,8,1
2016/11/2 13:00:00,,0,1,0,1,8,1,1014.9,8,1,2.3,8,ìÏ,8,1,17.6,8,1,,0,1,0,1,8,1,1011.6,8,1,1.5,8,ìÏìÏêº,8,1,18.1,8,1,,0,1,0,1,8,1,1018.1,8,1,3.1,8,ìåìÏìå,8,1,16.5,8,1
2016/11/2 14:00:00,,0,1,0,1,8,1,1014.3,8,1,1.8,8,ìÏêº,8,1,18.0,8,1,,0,1,0,1,8,1,1010.9,8,1,1.1,8,ìåñkìå,8,1,18.6,8,1,,0,1,0,1,8,1,1017.5,8,1,3.1,8,ìÏêº,8,1,16.9,8,1
2016/11/2 15:00:00,0+,8,1,0,1,8,1,1014.0,8,1,1.2,8,ìÏêº,8,1,18.1,8,1,0+,8,1,0,1,8,1,1010.7,8,1,1.9,8,ìÏêº,8,1,18.0,8,1,1,8,1,0,1,8,1,1017.3,8,1,3.3,8,ìÏìÏêº,8,1,17.1,8,1
2016/11/2 16:00:00,,0,1,0,1,8,1,1014.1,8,1,2.0,8,êºìÏêº,8,1,17.5,8,1,,0,1,0,1,8,1,1010.9,8,1,2.6,8,ìÏêº,8,1,17.1,8,1,,0,1,0,1,8,1,1017.3,8,1,5.1,8,êºìÏêº,8,1,17.0,8,1
2016/11/2 17:00:00,,0,1,0,1,8,1,1014.2,8,1,2.7,8,ìÏêº,8,1,16.7,8,1,,0,1,0,1,8,1,1011.1,8,1,2.0,8,ìÏêº,8,1,16.4,8,1,,0,1,0,1,8,1,1017.5,8,1,4.0,8,êºìÏêº,8,1,16.0,8,1
2016/11/2 18:00:00,,0,1,0,1,8,1,1014.7,8,1,1.2,8,êºñkêº,8,1,14.1,8,1,0+,8,1,0,1,8,1,1011.5,8,1,1.7,8,ìÏêº,8,1,16.0,8,1,,0,1,0,1,8,1,1017.8,8,1,3.0,8,êº,8,1,14.8,8,1
2016/11/2 19:00:00,,0,1,0,1,8,1,1015.4,8,1,1.7,8,ñkìå,8,1,13.0,8,1,,0,1,0,1,8,1,1011.8,8,1,1.7,8,ìÏìÏêº,8,1,15.7,8,1,,0,1,0,1,8,1,1018.1,8,1,1.5,8,êºñkêº,8,1,14.3,8,1
2016/11/2 20:00:00,,0,1,0,1,8,1,1015.6,8,1,1.7,8,ñkìå,8,1,11.9,8,1,,0,1,0,1,8,1,1012.0,8,1,2.3,8,ìÏìÏêº,8,1,14.6,8,1,,0,1,0,1,8,1,1018.2,8,1,0.5,8,êºñkêº,8,1,14.4,8,1
2016/11/2 21:00:00,0+,8,1,0,1,8,1,1015.6,8,1,1.7,8,ñkìå,8,1,11.1,8,1,1,8,1,0,1,8,1,1011.9,8,1,1.2,8,ìÏìÏìå,8,1,13.9,8,1,2,8,1,0,1,8,1,1018.1,8,1,2.3,8,ñkñkêº,8,1,13.9,8,1
2016/11/2 22:00:00,,0,1,0,1,8,1,1015.4,8,1,2.0,8,ñkìå,8,1,10.4,8,1,,0,1,0,1,8,1,1011.6,8,1,1.0,8,ìÏìÏêº,8,1,13.6,8,1,,0,1,0,1,8,1,1017.6,8,1,2.1,8,ñkêº,8,1,14.0,8,1
2016/11/2 23:00:00,,0,1,0,1,8,1,1015.4,8,1,1.6,8,ñkìå,8,1,10.1,8,1,,0,1,0,1,8,1,1011.3,8,1,0.6,8,ìåìÏìå,8,1,13.2,8,1,,0,1,0,1,8,1,1017.4,8,1,2.7,8,ñkñkìå,8,1,14.1,8,1
2016/11/3 00:00:00,,0,1,0,1,8,1,1014.9,8,1,1.7,8,ñkñkìå,8,1,9.9,8,1,,0,1,0,1,8,1,1011.0,8,1,0.9,8,ñkñkìå,8,1,11.9,8,1,,0,1,0,1,8,1,1017.0,8,1,2.4,8,ñk,8,1,13.3,8,1
2016/11/3 1:00:00,,0,1,0,1,8,1,1014.3,8,1,0.8,8,ñk,8,1,9.4,8,1,,0,1,0,1,8,1,1010.5,8,1,1.6,8,ñkñkìå,8,1,11.7,8,1,,0,1,0,1,8,1,1016.8,8,1,2.3,8,ñkñkìå,8,1,13.0,8,1
2016/11/3 2:00:00,,0,1,0,1,8,1,1014.0,8,1,0.8,8,ñkìå,8,1,8.9,8,1,,0,1,0,1,8,1,1010.1,8,1,2.2,8,ñk,8,1,11.3,8,1,,0,1,0,1,8,1,1016.3,8,1,2.1,8,ñk,8,1,13.2,8,1
2016/11/3 3:00:00,2,8,1,0,1,8,1,1013.5,8,1,1.0,8,ñkêº,8,1,9.1,8,1,7,8,1,0,1,8,1,1009.9,8,1,0.9,8,ñk,8,1,11.1,8,1,9,8,1,0,1,8,1,1016.1,8,1,1.1,8,ìÏêº,8,1,13.6,8,1
2016/11/3 4:00:00,,0,1,0,1,8,1,1013.4,8,1,0.8,8,ñkñkêº,8,1,9.4,8,1,,0,1,0,1,8,1,1009.9,8,1,1.5,8,ñk,8,1,11.0,8,1,,0,1,0,1,8,1,1016.1,8,1,2.6,8,êºñkêº,8,1,14.0,8,1
2016/11/3 5:00:00,,0,1,0,1,8,1,1013.7,8,1,1.6,8,ñkêº,8,1,10.2,8,1,,0,1,0,1,8,1,1010.4,8,1,0.4,8,ìÏìÏêº,8,1,11.2,8,1,,0,1,0,1,8,1,1016.5,8,1,3.1,8,ìÏêº,8,1,13.6,8,1
2016/11/3 6:00:00,,0,1,0,1,8,1,1013.8,8,1,0.8,8,êº,8,1,9.6,8,1,1,8,1,0,1,8,1,1010.5,8,1,1.2,8,ìå,8,1,10.7,8,1,,0,1,0,1,8,1,1016.9,8,1,5.6,8,êºñkêº,8,1,12.2,8,1
2016/11/3 7:00:00,,0,1,0,1,8,1,1014.4,8,1,1.4,8,êº,8,1,10.2,8,1,,0,1,0,1,8,1,1010.9,8,1,2.2,8,ñkñkìå,8,1,11.0,8,1,,0,1,0,1,8,1,1017.5,8,1,3.2,8,ñkêº,8,1,11.8,8,1
2016/11/3 8:00:00,,0,1,0,1,8,1,1014.3,8,1,1.8,8,ìÏìÏêº,8,1,12.8,8,1,,0,1,0,1,8,1,1011.5,8,1,1.6,8,ñkñkìå,8,1,12.6,8,1,,0,1,0,1,8,1,1017.8,8,1,3.6,8,ñkêº,8,1,13.2,8,1
2016/11/3 9:00:00,0+,8,1,0,1,8,1,1014.5,8,1,1.3,8,ìÏìÏêº,8,1,13.3,8,1,1,8,1,0,1,8,1,1011.4,8,1,1.0,8,êºìÏêº,8,1,14.7,8,1,0+,8,1,0,1,8,1,1017.9,8,1,4.2,8,êº,8,1,14.8,8,1
2016/11/3 10:00:00,,0,1,0,1,8,1,1014.1,8,1,1.5,8,ñk,8,1,15.7,8,1,,0,1,0,1,8,1,1011.0,8,1,2.6,8,êºìÏêº,8,1,16.1,8,1,,0,1,0,1,8,1,1017.6,8,1,4.6,8,êºìÏêº,8,1,15.2,8,1
2016/11/3 11:00:00,,0,1,0,1,8,1,1013.5,8,1,3.9,8,êºñkêº,8,1,15.1,8,1,,0,1,0,1,8,1,1009.9,8,1,2.8,8,êºñkêº,8,1,16.4,8,1,,0,1,0,1,8,1,1016.4,8,1,4.9,8,êºñkêº,8,1,15.8,8,1
2016/11/3 12:00:00,,0,1,0,1,8,1,1012.6,8,1,2.2,8,ñkêº,8,1,15.2,8,1,6,8,1,0,1,8,1,1009.3,8,1,3.6,8,êºñkêº,8,1,16.3,8,1,,0,1,0,1,8,1,1015.6,8,1,3.1,8,êºñkêº,8,1,16.9,8,1
2016/11/3 13:00:00,,0,1,0.0,0,8,1,1012.0,8,1,5.1,8,êºñkêº,8,1,15.5,8,1,,0,1,0,1,8,1,1008.6,8,1,3.5,8,ñkêº,8,1,16.8,8,1,,0,1,0,1,8,1,1014.9,8,1,3.4,8,êºñkêº,8,1,15.7,8,1
2016/11/3 14:00:00,,0,1,0.0,0,8,1,1011.5,8,1,4.4,8,êºñkêº,8,1,15.4,8,1,,0,1,0,1,8,1,1008.0,8,1,3.7,8,ñkêº,8,1,17.4,8,1,,0,1,0,1,8,1,1014.4,8,1,5.4,8,ñkêº,8,1,17.1,8,1
2016/11/3 15:00:00,3,8,1,0,1,8,1,1011.3,8,1,3.9,8,êºñkêº,8,1,15.2,8,1,5,8,1,0,1,8,1,1007.9,8,1,3.0,8,ñkêº,8,1,16.5,8,1,5,8,1,0,1,8,1,1014.2,8,1,4.2,8,ñkêº,8,1,16.7,8,1
2016/11/3 16:00:00,,0,1,0,1,8,1,1011.6,8,1,3.3,8,êº,8,1,14.4,8,1,,0,1,0,1,8,1,1008.0,8,1,3.6,8,ñk,8,1,15.5,8,1,,0,1,0,1,8,1,1014.2,8,1,3.5,8,ñkñkêº,8,1,15.6,8,1
2016/11/3 17:00:00,,0,1,0,1,8,1,1011.6,8,1,1.6,8,êºñkêº,8,1,13.7,8,1,,0,1,0,1,8,1,1008.2,8,1,2.7,8,ñk,8,1,14.7,8,1,,0,1,0,1,8,1,1014.4,8,1,4.6,8,ñkñkêº,8,1,15.1,8,1
2016/11/3 18:00:00,,0,1,0,1,8,1,1011.6,8,1,1.9,8,êºñkêº,8,1,13.1,8,1,2,8,1,0,1,8,1,1008.2,8,1,2.4,8,ñkñkêº,8,1,14.6,8,1,,0,1,0,1,8,1,1014.4,8,1,2.8,8,ñkêº,8,1,14.1,8,1
2016/11/3 19:00:00,,0,1,0,1,8,1,1011.6,8,1,1.6,8,ìÏêº,8,1,12.5,8,1,,0,1,0,1,8,1,1008.4,8,1,1.2,8,ñkñkêº,8,1,14.6,8,1,,0,1,0,1,8,1,1014.7,8,1,2.3,8,ñkêº,8,1,13.9,8,1
2016/11/3 20:00:00,,0,1,0,1,8,1,1011.7,8,1,2.4,8,ìÏêº,8,1,12.2,8,1,,0,1,0,1,8,1,1008.6,8,1,1.6,8,ñkêº,8,1,14.7,8,1,,0,1,0,1,8,1,1015.0,8,1,2.0,8,êºìÏêº,8,1,14.1,8,1
2016/11/3 21:00:00,10-,8,1,0,1,8,1,1012.0,8,1,2.0,8,êºìÏêº,8,1,12.5,8,1,10-,8,1,0,1,8,1,1008.6,8,1,2.0,8,êº,8,1,14.6,8,1,4,8,1,0,1,8,1,1015.1,8,1,3.9,8,êº,8,1,13.2,8,1
2016/11/3 22:00:00,,0,1,0,1,8,1,1012.2,8,1,1.6,8,êº,8,1,11.9,8,1,,0,1,0,1,8,1,1008.9,8,1,3.3,8,êºñkêº,8,1,14.4,8,1,,0,1,0,1,8,1,1015.3,8,1,4.0,8,êº,8,1,12.8,8,1
2016/11/3 23:00:00,,0,1,0,1,8,1,1012.2,8,1,1.6,8,êº,8,1,11.3,8,1,,0,1,0,1,8,1,1008.9,8,1,2.2,8,êºìÏêº,8,1,13.9,8,1,,0,1,0,1,8,1,1015.3,8,1,2.5,8,êºñkêº,8,1,12.4,8,1
2016/11/4 00:00:00,,0,1,0,1,8,1,1012.1,8,1,0.6,8,ñkñkìå,8,1,10.6,8,1,,0,1,0,1,8,1,1008.7,8,1,1.6,8,ñkñkêº,8,1,13.6,8,1,,0,1,0,1,8,1,1015.2,8,1,3.1,8,êºñkêº,8,1,11.8,8,1
2016/11/4 1:00:00,,0,1,0,1,8,1,1012.1,8,1,0.9,8,êºñkêº,8,1,10.0,8,1,,0,1,0,1,8,1,1008.8,8,1,1.1,8,ñkñkêº,8,1,12.0,8,1,,0,1,0,1,8,1,1015.2,8,1,3.7,8,êºñkêº,8,1,11.7,8,1
2016/11/4 2:00:00,,0,1,0,1,8,1,1012.1,8,1,1.3,8,ñkìå,8,1,9.7,8,1,,0,1,0,1,8,1,1008.9,8,1,0.9,8,ñkñkêº,8,1,11.4,8,1,,0,1,0,1,8,1,1015.2,8,1,4.0,8,êºñkêº,8,1,11.4,8,1
2016/11/4 3:00:00,1,8,1,0,1,8,1,1011.9,8,1,0.6,8,ìåñkìå,8,1,9.0,8,1,0+,8,1,0,1,8,1,1008.5,8,1,0.8,8,ìÏìÏìå,8,1,11.1,8,1,1,8,1,0,1,8,1,1015.0,8,1,2.8,8,êºñkêº,8,1,10.9,8,1
2016/11/4 4:00:00,,0,1,0,1,8,1,1011.8,8,1,0.8,8,ñkñkìå,8,1,8.4,8,1,,0,1,0,1,8,1,1008.5,8,1,0.5,8,ìåìÏìå,8,1,10.5,8,1,,0,1,0,1,8,1,1014.8,8,1,2.3,8,êº,8,1,11.1,8,1
